pmt	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	42	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	55	41	16	75	31	17	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	43	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	41	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	42	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	43	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	39	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	36	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	42	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	42	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	41	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	42	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	43	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	42	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	37	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	41	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	43	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	42	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	43	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	42	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	37	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	38	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	41	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	41	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	43	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	43	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	43	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	43	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	37	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	38	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	38	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	40	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	42	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	40	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	54	40	16	74	30	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	38	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	36	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	43	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	41	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	15	74	30	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	43	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	37	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	12	54	41	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	42	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	39	16	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	39	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	12	54	40	15	74	31	16	20	43	
1	1	1	1	1	1	1	1	13	54	40	16	74	31	16	21	43	
1	1	1	1	1	1	1	1	13	54	38	16	74	31	16	21	44	
