pmt	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	65	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	65	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	66	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	59	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	59	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	60	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	59	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	65	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	65	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	59	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	60	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	29	16	74	31	16	20	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	65	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	64	29	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	63	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	62	30	16	74	31	16	21	44	
1	1	1	1	1	1	1	1	13	61	30	16	74	31	16	21	44	
